candidate,vertex,w_R,w_P,w_U,acceptability
305,1,0.636277153282,0.0525980944922,0.311124752226,0.00107918573845
305,2,0.632718763144,0.0851500004356,0.282131236421,0.00107918573845
305,3,0.6228796951,0.0871863192877,0.289933985613,0.00107918573845
305,4,0.621324959072,0.0762566759656,0.302418364962,0.00107918573845
305,5,0.624332150006,0.0423776660107,0.333290183983,0.00107918573845
306,0,0.625058769582,0,0.374941230418,0.00109228368962
306,1,0.638157395586,0,0.361842604414,0.00109228368962
306,2,0.638633591514,0.00438988192912,0.356976526556,0.00109228368962
306,3,0.634879512503,0.040474936483,0.324645551014,0.00109228368962
306,4,0.624332150006,0.0423776660107,0.333290183983,0.00109228368962
306,5,0.622596797106,0.0295458287686,0.347857374125,0.00109228368962
321,0,0.618616421827,0.155112657608,0.226270920565,0.000442277904437
321,1,0.619873289282,0.163172480835,0.216954229883,0.000442277904437
321,2,0.618325822258,0.177962971718,0.203711206024,0.000442277904437
321,3,0.608066835701,0.17764299117,0.214290173129,0.000442277904437
321,4,0.609781560519,0.157231273098,0.232987166382,0.000442277904437
322,0,0.61999453946,0.117839230846,0.262166229694,0.000804624369688
322,1,0.621391030034,0.127202093809,0.251406876157,0.000804624369688
322,2,0.618616421827,0.155112657608,0.226270920565,0.000804624369688
322,3,0.609781560519,0.157231273098,0.232987166382,0.000804624369688
322,4,0.608284218104,0.148781259303,0.242934522593,0.000804624369688
322,5,0.610555980439,0.11989279968,0.269551219881,0.000804624369688
323,0,0.621324959072,0.0762566759656,0.302418364962,0.000965580265972
323,1,0.6228796951,0.0871863192877,0.289933985613,0.000965580265972
323,2,0.61999453946,0.117839230846,0.262166229694,0.000965580265972
323,3,0.610555980439,0.11989279968,0.269551219881,0.000965580265972
323,4,0.608880650429,0.110043265574,0.281076083997,0.000965580265972
323,5,0.611211094733,0.0782049759231,0.310583929344,0.000965580265972
324,0,0.622596797106,0.0295458287686,0.347857374125,0.00117012030743
324,1,0.624332150006,0.0423776660107,0.333290183983,0.00117012030743
324,2,0.621324959072,0.0762566759656,0.302418364962,0.00117012030743
324,3,0.611211094733,0.0782049759231,0.310583929344,0.00117012030743
324,4,0.609331256795,0.0666631118654,0.32400563134,0.00117012030743
324,5,0.611722194046,0.031334525251,0.356943280703,0.00117012030743
325,0,0.610705730507,0,0.389294269493,0.000819137565542
325,1,0.625058769582,0,0.374941230418,0.000819137565542
325,2,0.622596797106,0.0295458287686,0.347857374125,0.000819137565542
325,3,0.611722194046,0.031334525251,0.356943280703,0.000819137565542
