beta,eta,N,R,P,U
0.238,3.19,4,0.7326386558,0.1231939813,0.7775387565
0.239,3.19,4,0.732641734,0.1233511331,0.7775184555
0.24,3.19,4,0.73264795,0.1235116787,0.7775060792
0.241,3.19,4,0.7326573405,0.1236756555,0.7775017327
0.224,3.2,4,0.733036677,0.1208625556,0.7781968716
0.225,3.2,4,0.7330002167,0.1209761402,0.7780794249
0.226,3.2,4,0.7329663822,0.1210925936,0.7779684457
0.227,3.2,4,0.7329352104,0.1212119533,0.777864039
0.228,3.2,4,0.7329067379,0.1213342566,0.77776631
0.229,3.2,4,0.7328810018,0.1214595411,0.7776753637
0.23,3.2,4,0.7328580388,0.1215878441,0.7775913051
0.231,3.2,4,0.7328378858,0.1217192031,0.7775142392
0.232,3.2,4,0.7328205796,0.1218536554,0.7774442711
0.233,3.2,4,0.732806157,0.1219912387,0.7773815058
0.234,3.2,4,0.7327946549,0.1221319902,0.7773260484
0.235,3.2,4,0.7327861101,0.1222759474,0.7772780038
0.236,3.2,4,0.7327805595,0.1224231477,0.7772374772
0.237,3.2,4,0.7327780398,0.1225736286,0.7772045736
0.238,3.2,4,0.732778588,0.1227274276,0.777179398
0.239,3.2,4,0.7327822408,0.122884582,0.7771620555
0.24,3.2,4,0.7327890352,0.1230451292,0.7771526511
0.241,3.2,4,0.7327990079,0.1232091068,0.7771512898
0.223,3.21,4,0.7332102198,0.1202895579,0.7779333521
0.224,3.21,4,0.7331716845,0.1204003275,0.7778122722
0.225,3.21,4,0.733135742,0.1205139275,0.7776975683
0.226,3.21,4,0.7331024289,0.1206303954,0.7775893451
0.227,3.21,4,0.7330717822,0.1207497686,0.777487708
0.228,3.21,4,0.7330438387,0.1208720846,0.7773927618
0.229,3.21,4,0.7330186352,0.1209973806,0.7773046115
0.23,3.21,4,0.7329962085,0.1211256943,0.7772233624
0.231,3.21,4,0.7329765956,0.121257063,0.7771491193
0.232,3.21,4,0.7329598331,0.1213915242,0.7770819873
0.233,3.21,4,0.732945958,0.1215291153,0.7770220715
0.234,3.21,4,0.7329350071,0.1216698737,0.7769694769
0.235,3.21,4,0.7329270173,0.1218138368,0.7769243085
0.236,3.21,4,0.7329220253,0.1219610422,0.7768866714
0.237,3.21,4,0.7329200681,0.1221115271,0.7768566706
0.238,3.21,4,0.7329211824,0.1222653292,0.7768344112
0.239,3.21,4,0.732925405,0.1224224857,0.7768199982
0.24,3.21,4,0.7329327729,0.1225830341,0.7768135366
0.223,3.22,4,0.7333473598,0.1198317401,0.7775606101
0.224,3.22,4,0.7333093338,0.1199425257,0.7774422307
0.225,3.22,4,0.7332739041,0.1200561407,0.7773302405
0.226,3.22,4,0.7332411076,0.1201726226,0.7772247445
0.227,3.22,4,0.7332109812,0.1202920088,0.7771258478
0.228,3.22,4,0.7331835618,0.1204143369,0.7770336554
0.229,3.22,4,0.733158886,0.1205396441,0.7769482724
0.23,3.22,4,0.7331369908,0.120667968,0.7768698037
0.231,3.22,4,0.7331179131,0.120799346,0.7767983544
0.232,3.22,4,0.7331016895,0.1209338155,0.7767340296
0.233,3.22,4,0.7330883571,0.1210714139,0.7766769343
0.234,3.22,4,0.7330779526,0.1212121787,0.7766271735
0.235,3.22,4,0.7330705129,0.1213561473,0.7765848523
0.236,3.22,4,0.7330660747,0.1215033572,0.7765500758
0.237,3.22,4,0.733064675,0.1216538457,0.7765229488
0.238,3.22,4,0.7330663505,0.1218076504,0.7765035766
0.239,3.22,4,0.7330711382,0.1219648086,0.7764920641
0.24,3.22,4,0.7330790748,0.1221253577,0.7764885164
0.223,3.23,4,0.733487058,0.1193783135,0.7772022355
0.224,3.23,4,0.7334495362,0.1194891144,0.7770865276
0.225,3.23,4,0.7334146146,0.1196027439,0.7769772223
0.226,3.23,4,0.7333823299,0.1197192393,0.7768744245
0.227,3.23,4,0.733352719,0.1198386382,0.7767782392
0.228,3.23,4,0.7333258187,0.1199609779,0.7766887717
0.229,3.23,4,0.7333016658,0.1200862958,0.7766061268
0.23,3.23,4,0.7332802973,0.1202146294,0.7765304096
0.231,3.23,4,0.7332617499,0.1203460162,0.7764617252
0.232,3.23,4,0.7332460605,0.1204804935,0.7764001786
0.233,3.23,4,0.7332332658,0.1206180988,0.7763458748
0.234,3.23,4,0.7332234029,0.1207588696,0.7762989189
0.235,3.23,4,0.7332165084,0.1209028432,0.7762594159
0.236,3.23,4,0.7332126192,0.1210500571,0.7762274709
0.237,3.23,4,0.7332117721,0.1212005487,0.7762031889
0.238,3.23,4,0.7332140041,0.1213543555,0.7761866749
0.239,3.23,4,0.7332193519,0.1215115149,0.7761780339
0.24,3.23,4,0.7332278524,0.1216720644,0.7761773711
0.222,3.24,4,0.7336688152,0.1188212164,0.7769773853
0.223,3.24,4,0.7336292259,0.1189292422,0.776858009
0.224,3.24,4,0.7335922036,0.1190400581,0.7767449437
0.225,3.24,4,0.7335577851,0.1191537016,0.7766382942
0.226,3.24,4,0.7335260073,0.1192702101,0.7765381655
0.227,3.24,4,0.733496907,0.119389621,0.7764446629
0.228,3.24,4,0.7334705211,0.1195119718,0.7763578912
0.229,3.24,4,0.7334468863,0.1196373,0.7762779555
0.23,3.24,4,0.7334260396,0.1197656429,0.7762049609
0.231,3.24,4,0.7334080177,0.119897038,0.7761390123
0.232,3.24,4,0.7333928575,0.1200315226,0.7760802149
0.233,3.24,4,0.7333805958,0.1201691344,0.7760286737
0.234,3.24,4,0.7333712695,0.1203099106,0.7759844937
0.235,3.24,4,0.7333649154,0.1204538887,0.77594778
0.236,3.24,4,0.7333615704,0.1206011062,0.7759186375
0.237,3.24,4,0.7333612712,0.1207516005,0.7758971714
0.238,3.24,4,0.7333640547,0.120905409,0.7758834866
0.239,3.24,4,0.7333699578,0.1210625691,0.7758776883
0.222,3.25,4,0.7338128734,0.1183764494,0.7766444873
0.223,3.25,4,0.733773775,0.1184844905,0.7765277113
0.224,3.25,4,0.7337372474,0.1185953209,0.7764172594
0.225,3.25,4,0.7337033272,0.1187089779,0.7763132368
0.226,3.25,4,0.7336720515,0.118825499,0.7762157484
0.227,3.25,4,0.733643457,0.1189449216,0.7761248993
0.228,3.25,4,0.7336175806,0.1190672831,0.7760407945
0.229,3.25,4,0.733594459,0.119192621,0.775963539
0.23,3.25,4,0.7335741292,0.1193209727,0.775893238
0.231,3.25,4,0.733556628,0.1194523756,0.7758299963
0.232,3.25,4,0.7335419922,0.1195868672,0.7757739192
0.233,3.25,4,0.7335302586,0.1197244849,0.7757251116
0.234,3.25,4,0.7335214642,0.1198652661,0.7756836785
0.235,3.25,4,0.7335156456,0.1200092483,0.775649725
0.236,3.25,4,0.7335128398,0.1201564689,0.7756233561
0.237,3.25,4,0.7335130837,0.1203069653,0.775604677
0.238,3.25,4,0.7335164139,0.120460775,0.7755937925
0.239,3.25,4,0.7335228675,0.1206179354,0.7755908078
0.221,3.26,4,0.7340003795,0.1178306614,0.7764457648
0.222,3.26,4,0.7339592295,0.1179359667,0.7763253276
0.223,3.26,4,0.7339206172,0.1180440229,0.7762111228
0.224,3.26,4,0.7338845792,0.1181548673,0.7761032556
0.225,3.26,4,0.7338511526,0.1182685374,0.7760018308
0.226,3.26,4,0.7338203741,0.1183850705,0.7759069537
0.227,3.26,4,0.7337922805,0.1185045043,0.7758187291
0.228,3.26,4,0.7337669087,0.118626876,0.7757372622
0.229,3.26,4,0.7337442956,0.1187522232,0.7756626581
0.23,3.26,4,0.7337244779,0.1188805832,0.7755950216
0.231,3.26,4,0.7337074925,0.1190119935,0.7755344579
0.232,3.26,4,0.7336933762,0.1191464915,0.7754810721
