sample,beta,eta,N,R,P,U,R_pred,R_resid,P_pred,P_resid,U_pred,U_resid,R_cv_pred,R_cv_resid,P_cv_pred,P_cv_resid,U_cv_pred,U_cv_resid
58,0.15,3.5,4,0.744589,0.105608,0.787408,0.744588603263,3.9673747676e-07,0.105602393498,5.60650185526e-06,0.787309237449,9.87625510198e-05,0.74458856075,4.39250441686e-07,0.105607824562,1.75438264083e-07,0.787275141409,0.00013285859138
59,0.15,4,4,0.751212,0.091714,0.788176,0.751211908801,9.11985152952e-08,0.0916717020631,4.22979369202e-05,0.788161002384,1.49976159544e-05,0.751211923879,7.61211910172e-08,0.0916421568175,7.18431825378e-05,0.788135718152,4.02818477301e-05
60,0.15,4.5,4,0.747878,0.081861,0.787505,0.747877826126,1.73873839882e-07,0.0818447416994,1.62583005565e-05,0.787440789462,6.42105380322e-05,0.747877755496,2.44503562286e-07,0.0817729891163,8.80108836853e-05,0.787473723448,3.1276551805e-05
61,0.2,3,4,0.732845,0.129056,0.79513,0.732845003519,-3.51855311553e-09,0.129144372652,-8.83726521336e-05,0.795152250742,-2.22507421158e-05,0.732845068265,-6.82648427786e-08,0.129177845255,-0.000121845255003,0.795174026472,-4.40264721919e-05
62,0.2,3.5,4,0.739155,0.10684,0.775066,0.739155475168,-4.75167903247e-07,0.106798811496,4.11885037106e-05,0.775034502755,3.14972448976e-05,0.739155545835,-5.45835063481e-07,0.106769938815,7.00611847699e-05,0.775027563719,3.84362806237e-05
63,0.2,4,4,0.745952,0.092942,0.777051,0.745952192889,-1.92888682804e-07,0.0929595399833,-1.75399833024e-05,0.777145064054,-9.4064053804e-05,0.745952237436,-2.3743553168e-07,0.0929046592527,3.7340747281e-05,0.777162301879,-0.000111301878576
64,0.2,4.5,4,0.742186,0.083109,0.77401,0.742185756681,2.43319109194e-07,0.0831648081132,-5.58081131725e-05,0.774062084638,-5.20846382198e-05,0.742185718633,2.81366712707e-07,0.083108911616,8.83840016036e-08,0.774051921793,-4.19217925549e-05
65,0.3,3,4,0.737253,0.150539,0.800818,0.73725311381,-1.13809833113e-07,0.150554752083,-1.57520834879e-05,0.800782958822,3.50411781069e-05,0.737253201607,-2.01607193162e-07,0.150538146438,8.53561672925e-07,0.80073479669,8.32033099387e-05
66,0.3,3.5,4,0.746518,0.128148,0.795487,0.746517715797,2.84203154455e-07,0.128154744538,-6.74453803332e-06,0.795427818367,5.91816326531e-05,0.746517667699,3.32301082873e-07,0.12813324043,1.47595697826e-05,0.795379667372,0.000107332627793
67,0.3,4,4,0.755057,0.114125,0.805031,0.755057032427,-3.2426715979e-08,0.114142643778,-1.76437782931e-05,0.805057861484,-2.68614842304e-05,0.755057004398,-4.3983862108e-09,0.114132303327,-7.30332733236e-06,0.805034050665,-3.05066463213e-06
68,0.3,4.5,4,0.751822,0.104217,0.802378,0.751821663699,3.36300556403e-07,0.104056699804,0.000160300195733,0.802251238173,0.000126761827458,0.751821534284,4.65715746412e-07,0.10398938586,0.000227614140165,0.802201934353,0.000176065647253
69,0.1,3,2,0.747647,0.127449,0.841578,0.747646681205,3.18795453369e-07,0.127827081331,-0.000378081331169,0.841785733175,-0.000207733175327,0.747646478945,5.21054984826e-07,0.128178462222,-0.000729462222136,0.841838929811,-0.000260929811263
70,0.1,3.5,2,0.756981,0.105565,0.811902,0.756981045672,-4.56720787856e-08,0.105508060682,5.69393181817e-05,0.811870428396,3.15716038942e-05,0.756981157039,-1.57038942294e-07,0.105436508946,0.000128491054025,0.811854153472,4.7846528316e-05
71,0.1,4,2,0.766469,0.091892,0.810136,0.76646892514,7.48603883327e-08,0.0917567500325,0.000135249967532,0.810139308617,-3.30861688536e-06,0.766468848937,1.51063494158e-07,0.0915667995557,0.000325200444298,0.810096974289,3.90257105215e-05
